Id,Name,Link,ConformanceUnits
1001,BACnetNotificationType,"https://reference.opcfoundation.org/BACnet/v200/docs/9.3.1",""
1002,BACnetObjectType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.1.2",""
1003,BACnetEventReportingType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.8.2",""
1004,BACnetAnalogType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.4.2",""
1005,BACnetAnalogInputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.5.2",""
1006,BACnetAnalogOutputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.6.2",""
1007,BACnetAnalogValueType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.7.2",""
1008,BACnetCalendarType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.16.2",""
1009,BACnetOutOfRangeAlgorithmType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.13.1",""
1010,BACnetChangeOfStateAlgorithmType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.10.1",""
1011,BACnetDeviceType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.3.2",""
1012,BACnetBinaryType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.8.2",""
1013,BACnetBinaryInputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.9.2",""
1014,BACnetBinaryOutputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.10.2",""
1015,BACnetBinaryValueType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.11.2",""
1016,BACnetChangeOfStateCountType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.6.2",""
1017,BACnetElapsedActiveTimeType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.7.2",""
1018,BACnetMultiStateType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.12.2",""
1019,BACnetMultiStateInputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.13.2",""
1020,BACnetMultiStateOutputType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.14.2",""
1021,BACnetMultiStateValueType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.15.2",""
1022,BACnetScheduleType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.17.2",""
1024,BACnetNotificationClassType,"https://reference.opcfoundation.org/BACnet/v200/docs/7.27.1",""
1025,BACnetFaultEvaluationType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.23.2",""
1026,BACnetEventAlgorithmType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.9.2",""
1027,BACnetFaultNotificationType,"https://reference.opcfoundation.org/BACnet/v200/docs/9.4.1",""
1028,BACnetEventNotificationType,"https://reference.opcfoundation.org/BACnet/v200/docs/9.6.1",""
1029,BACnetCommandFailureAlgorithmType,"https://reference.opcfoundation.org/BACnet/v200/docs/8.11.1",""
1030,BACnetInternetworkType,"https://reference.opcfoundation.org/BACnet/v200/docs/6.1.2",""
1031,BACnetOutOfRangeNotificationType,"https://reference.opcfoundation.org/BACnet/v200/docs/9.13.1",""
1032,BACnetSimpleNotificationType,"",""
1033,BACnetLoopNotificationType,"",""
1034,BACnetFeedbackNotificationType,"",""
1035,BACnetEventEnrollmentNotificationType,"",""
1036,BACnetChangeOfReliabilityNotificationType,"https://reference.opcfoundation.org/BACnet/v200/docs/9.5.1",""
