Id,Name,Link,ConformanceUnits
1,SoftwareUpdateType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.1/#8.4.1.1","DI SU Software Update;"
135,SoftwareLoadingType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.2/#8.4.2.1","DI SU Software Update;"
137,PackageLoadingType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.3/#8.4.3.1","DI SU Software Update;"
153,DirectLoadingType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.4/#8.4.4.1","DI SU DirectLoading;"
171,CachedLoadingType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.5/#8.4.5.1","DI SU CachedLoading;"
189,GetUpdateBehavior,"https://reference.opcfoundation.org/DI/v104/docs/8.4.5/#8.4.5.5","DI SU CachedLoading;"
192,FileSystemLoadingType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.6/#8.4.6.1","DI SU FileSystem Loading;"
206,GetUpdateBehavior,"https://reference.opcfoundation.org/DI/v104/docs/8.4.6/#8.4.6.3","DI SU FileSystem Loading;"
209,ValidateFiles,"https://reference.opcfoundation.org/DI/v104/docs/8.4.6/#8.4.6.4","DI SU FileSystem Loading;"
212,SoftwareVersionType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.7/#8.4.7.1","DI SU Software Update;"
213,PrepareForUpdateStateMachineType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.8/#8.4.8.1","DI SU PrepareForUpdate;"
249,InstallationStateMachineType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.9/#8.4.9.1","DI SU Software Update;"
265,InstallSoftwarePackage,"https://reference.opcfoundation.org/DI/v104/docs/8.4.9/#8.4.9.4","DI SU Software Update;"
268,InstallFiles,"https://reference.opcfoundation.org/DI/v104/docs/8.4.9/#8.4.9.5","DI SU Software Update;"
285,PowerCycleStateMachineType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.10","DI SU Manual Power Cycle;"
307,ConfirmationStateMachineType,"https://reference.opcfoundation.org/DI/v104/docs/8.4.11/#8.4.11.1","DI SU Update Confirmation;"
331,SoftwareVersionFileType,"https://reference.opcfoundation.org/DI/v104/docs/8.5.1","DI SU Software Update;"
