MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1000;AcActiveEnergyTotalImport5;Active Energy Consumed Odometer;Wh;-;Int16[5];YES
1001;AcActiveEnergyTotalImportLp;Active Energy Consumed Odometer (low precision);Wh;-;Float;YES
1002;AcActiveEnergyTotalImportHp;Active Energy Consumed Odometer (high precision);Wh;-;Double;YES
1003;AcActiveEnergyTotalExport5;Active Energy Generated Odometer;Wh;-;Int16[5];YES
1004;AcActiveEnergyTotalExportLp;Active Energy Generated Odometer (low precision);Wh;-;Float;YES
1005;AcActiveEnergyTotalExportHp;Active Energy Generated Odometer (high precision);Wh;-;Double;YES
1006;AcActiveEnergyTotalSum5;Active Energy Odometer Sum (import - export);Wh;-;Int16[5];YES
1007;AcActiveEnergyTotalSumLp;Active Energy Odometer Sum (import - export) (low precision);Wh;-;Float;YES
1008;AcActiveEnergyTotalSumHp;Active Energy Odometer Sum (import - export) (high precision);Wh;-;Double;YES
1009;AcReactiveEnergyTotalImport5;Reactive Energy Consumed Odometer;varh;-;Int16[5];YES
1010;AcReactiveEnergyTotalImportLp;Reactive Energy Consumed Odometer (low precision);varh;-;Float;YES
1011;AcReactiveEnergyTotalImportHp;Reactive Energy Consumed Odometer (high precision);varh;-;Double;YES
1012;AcReactiveEnergyTotalExport5;Reactive Energy Generated Odometer;varh;-;Int16[5];YES
1013;AcReactiveEnergyTotalExportLp;Reactive Energy Generated Odometer (low precision);varh;-;Float;YES
1014;AcReactiveEnergyTotalExportHp;Reactive Energy Generated Odometer (high precision);varh;-;Double;YES
1015;AcReactiveEnergyTotalSum5;Reactive Energy Odometer Sum (import - export);varh;-;Int16[5];YES
1016;AcReactiveEnergyTotalSumLp;Reactive Energy Odometer Sum (import - export) (low precision);varh;-;Float;YES
1017;AcReactiveEnergyTotalSumHp;Reactive Energy Odometer Sum (import - export) (high precision);varh;-;Double;YES
1018;AcApparentEnergyTotal5;Apparent Energy Odometer;VAh;-;Int16[5];YES
1019;AcApparentEnergyTotalLp;Apparent Energy Odometer (low precision);VAh;-;Float;YES
1020;AcApparentEnergyTotalHp;Apparent Energy Odometer (high precision);VAh;-;Double;YES
1021;DcEnergyTotalImport5;Direct Current (DC) Energy Consumed Odometer;Wh;-;Int16[5];YES
1022;DcEnergyTotalImportLp;Direct Current (DC) Energy Consumed Odometer (low precision);Wh;-;Float;YES
1023;DcEnergyTotalImportHp;Direct Current (DC) Energy Consumed Odometer (high precision);Wh;-;Double;YES
1024;DcEnergyTotalExport5;Direct Current (DC) Energy Generated Odometer;Wh;-;Int16[5];YES
1025;DcEnergyTotalExportLp;Direct Current (DC) Energy Generated Odometer (low precision);Wh;-;Float;YES
1026;DcEnergyTotalExportHp;Direct Current (DC) Energy Generated Odometer (high precision);Wh;-;Double;YES
1027;DcEnergyTotalSum5;Direct Current (DC) Energy Odometer Sum (import - export);Wh;-;Int16[5];YES
1028;DcEnergyTotalSumLp;Direct Current (DC) Energy Odometer Sum (import - export) (low precision);Wh;-;Float;YES
1029;DcEnergyTotalSumHp;Direct Current (DC) Energy Odometer Sum (import - export) (high precision);Wh;-;Double;YES
1030;DcElectricalCharge;Direct Current (DC) Electrical Charge (e. g. Accumulator) / Current Odometer;Ah;-;Float;YES
1031;DcRelativeCharge;Direct Current (DC) Relative Charge (e. g. Accumulator);%;-;Float;YES
1032;DcActivePower;Direct Current (DC) Power;W;-;Float;NO
1033;DcCurrent;Direct Current (DC) Current;A;-;Float;NO
1034;DcVoltage;Direct Current (DC) Voltage;V;-;Float;NO
1100;AcVoltageL1N;Voltage L1-N;V;-;Float;NO
1101;AcVoltageL1NMax;Voltage L1-N maximum. Based on AcVoltageL1N. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1102;AcVoltageL1NMin;Voltage L1-N minimum. Based on AcVoltageL1N. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1103;AcVoltageL1N3s;Voltage L1-N (3 seconds);V;3 s, SlidingDemand;Float;NO
1104;AcVoltageL1N3sMax;Voltage L1-N maximum of the last 3 seconds. ;V;3 s,SlidingDemand;Float;NO
1105;AcVoltageL1N3sMin;Voltage L1-N minimum of the last 3 seconds.;V;3 s, SlidingDemand;Float;NO
1106;AcVoltageL2N;Voltage L2-N;V;-;Float;NO
1107;AcVoltageL2NMax;Voltage L2-N maximum. Based on AcVoltageL2N. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1108;AcVoltageL2NMin;Voltage L2-N minimum. Based on AcVoltageL2N. May be reset by ResetStatistics or other mechanisms.;V;-;Float;YES
1109;AcVoltageL2N3s;Voltage L2-N (3 seconds);V;3 s, SlidingDemand;Float;NO
