Id,Name,Link,ConformanceUnits
1002,BasicStacklightType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.1",""
1003,StackLevelType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.3",""
1004,StackRunningType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.4",""
1005,StackElementType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.5",""
1006,StackElementLightType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.6",""
1007,StackElementAcousticType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.7",""
1008,ControlChannelType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.8",""
1009,AcousticSignalType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.9",""
1010,StacklightType,"https://reference.opcfoundation.org/IA/v101/docs/5.2.2",""
1011,IStatisticsType,"https://reference.opcfoundation.org/IA/v101/docs/6.2.1/#6.2.1.1",""
1012,IAggregateStatisticsType,"https://reference.opcfoundation.org/IA/v101/docs/6.2.2",""
1013,IRollingStatisticsType,"https://reference.opcfoundation.org/IA/v101/docs/6.2.3",""
1014,BaseCalibrationTargetCategoryType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.2",""
1015,ReusableCalibrationTargetCategoryType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.3",""
1016,ReusableDeviceCalibrationTargetCategoryType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.4",""
1017,OneTimeCalibrationTargetCategoryType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.5",""
1018,DynamicCalibrationTargetCategoryType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.6",""
1019,CalibrationTargetType,"https://reference.opcfoundation.org/IA/v101/docs/7.4.1",""
2002,CalibrationValueType,"https://reference.opcfoundation.org/IA/v101/docs/7.5.1",""
2003,CapacityRangeType,"https://reference.opcfoundation.org/IA/v101/docs/7.5.2",""
3002,StacklightOperationMode,"https://reference.opcfoundation.org/IA/v101/docs/5.3.1",""
3003,LevelDisplayMode,"https://reference.opcfoundation.org/IA/v101/docs/5.3.2",""
3004,SignalColor,"https://reference.opcfoundation.org/IA/v101/docs/5.3.3",""
3005,SignalModeLight,"https://reference.opcfoundation.org/IA/v101/docs/5.3.4",""
4002,HasStatisticComponent,"https://reference.opcfoundation.org/IA/v101/docs/6.3.1",""
4003,HasReferenceMeasurementInstrument,"https://reference.opcfoundation.org/IA/v101/docs/7.6.1",""
5008,http://opcfoundation.org/UA/IA/,"https://reference.opcfoundation.org/IA/v101/docs/9.1",""
7001,ResetStatistics,"https://reference.opcfoundation.org/IA/v101/docs/6.2.1/#6.2.1.2",""
