Id,Name,Link,ConformanceUnits
1002,IJoiningSystemAssetType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.2","4:Machinery Machine Identification;4:Machinery Component Identification;4:Machinery Building Block Organization;IJT Asset Management Health;IJT Asset Management Operation Counters;IJT Asset Management Service;IJT Asset Management Calibration;"
1003,IControllerType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.4","IJT Asset Management Controller;"
1004,IToolType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.5","IJT Asset Management Tool;IJT Asset Management Tool Operation Cycle Counter;"
1005,JoiningSystemType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.1.2","IJT Joining System Base;IJT Joining Process Management;IJT Joint Management;"
1006,JoiningSystemEventType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/8.2","IJT Event Payload;IJT Event Condition Classes;IJT Asset Connection Event;IJT Enable State Event;IJT Event Payload Associated Entities;IJT Event Payload Reported Values;IJT Identifiers Event;"
1007,JoiningSystemResultReadyEventType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/8.1","IJT Result Event Access;"
1008,IServoType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.6","IJT Asset Management Servo;"
1009,IPowerSupplyType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.11","IJT Asset Management Power Supply;"
1010,IBatteryType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.10","IJT Asset Management Battery;IJT Asset Management Battery Operation Cycle Counter;"
1011,ISensorType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.8","IJT Asset Management Sensor;"
1012,IFeederType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.12","IJT Asset Management Feeder;"
1013,IMemoryDeviceType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.7","IJT Asset Management Memory Device;"
1014,ICableType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.9","IJT Asset Management Cable;"
1015,IAccessoryType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.13","IJT Asset Management Accessory;"
1016,ISubComponentType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.14","IJT Asset Management SubComponent;"
1017,IJoiningAdditionalInformationType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.3","IJT Asset Management Additional Information;"
1018,AssetConnectedConditionClassType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/8.4.2","IJT Event Condition Classes;IJT Asset Connection Event;IJT Asset Connection State Event;"
1019,ISoftwareType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/7.2.2/#7.2.2.15","IJT Asset Management Software;"
1020,JoiningSystemConditionType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/8.3","IJT Event Payload;IJT Event Condition Classes;IJT Event Payload Associated Entities;IJT Event Payload Reported Values;"
1021,AssetDisconnectedConditionClassType,"https://reference.opcfoundation.org/IJT/Base/v100/docs/8.4.3","IJT Event Condition Classes;IJT Asset Connection Event;IJT Asset Connection State Event;"
