Id,Name,Link,ConformanceUnits
61,SetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.1","LADS SetType;"
1000,AnalogScalarSensorFunctionWithCompensationType,"https://reference.opcfoundation.org/LADS/v100/docs/7.5.5","LADS AnalogScalarSensorFunctionWithCompensationType;"
1001,ResultFileType,"https://reference.opcfoundation.org/LADS/v100/docs/7.2.3","LADS ResultFileType;"
1002,LADSDeviceType,"https://reference.opcfoundation.org/LADS/v100/docs/7.1.1","LADS LADSDeviceType;"
1003,FunctionalUnitType,"https://reference.opcfoundation.org/LADS/v100/docs/7.1.4","LADS FunctionalUnitType;"
1004,FunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.4.2","LADS FunctionType;"
1005,BaseSensorFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.5.1","LADS BaseSensorFunctionType;"
1006,ProgramManagerType,"https://reference.opcfoundation.org/LADS/v100/docs/7.2.1/#7.2.1.1","LADS ProgramManagerType;"
1007,BaseControlFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.1","LADS BaseControlFunctionType;"
1008,ControllerTuningParameterType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.3","LADS ControllerTuningParameterType;"
1009,AnalogControlFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.5","LADS AnalogControlFunctionType;"
1010,CoverStateMachineType,"https://reference.opcfoundation.org/LADS/v100/docs/7.7.2/#7.7.2.1","LADS CoverStateMachineType;"
1011,CoverFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.7.1","LADS CoverFunctionType;"
1012,DiscreteSensorFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.5.6","LADS DiscreteSensorFunctionType;"
1013,TimerControlFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.14","LADS TimerControlFunctionType;"
1014,AnalogControlFunctionWithTotalizerType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.8/#7.6.8.1","LADS AnalogControlFunctionWithTotalizerType;"
1015,AnalogArraySensorFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.5.3","LADS AnalogArraySensorFunctionType;"
1016,AnalogScalarSensorFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.5.4","LADS AnalogScalarSensorFunctionType;"
1017,DiscreteControlFunctionType,"https://reference.opcfoundation.org/LADS/v100/docs/7.6.11","LADS DiscreteControlFunctionType;"
1018,ProgramTemplateType,"https://reference.opcfoundation.org/LADS/v100/docs/7.2.5","LADS ProgramTemplateType;"
1019,ProgramTemplateSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.8","LADS ProgramTemplateSetType;"
1020,ResultSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.3","LADS ResultSetType;"
1021,ResultType,"https://reference.opcfoundation.org/LADS/v100/docs/7.2.2","LADS ResultType;"
1022,ResultFileSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.4","LADS ResultFileSetType;"
1023,FunctionalUnitSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.5","LADS FunctionalUnitSetType;"
1024,LADSComponentType,"https://reference.opcfoundation.org/LADS/v100/docs/7.1.3","LADS LADSComponentType;"
1025,LADSComponentsType,"https://reference.opcfoundation.org/LADS/v100/docs/7.1.8","LADS LADSComponentsType;"
1026,FunctionSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.7","LADS ControllerParameterSetType;"
1027,MaintenanceSetType,"https://reference.opcfoundation.org/LADS/v100/docs/7.3.10","LADS MaintenanceSetType;"
1028,MaintenanceTaskType,"https://reference.opcfoundation.org/LADS/v100/docs/7.1.10/#7.1.10.1","LADS MaintenanceTaskType;"
