Id,Name,Link,ConformanceUnits
3,CommandEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.5","MDIS Valve Base;"
5,SEMEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.6","MDIS Valve Base;"
194,MDISBaseObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.2.2","MDIS Base Fault;"
195,EnableDisable,"https://reference.opcfoundation.org/MDIS/v130/docs/6.2.3","MDIS Base Enabled;"
602,ChokeMoveEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.1",""
699,SignatureStatusEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.4","MDIS Valve SignatureRequestStatus;"
701,ChokeCommandEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.2","MDIS Choke Base;"
703,ValvePositionEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.7","MDIS Valve Base;"
794,MDISValveObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.8.3","MDIS Valve Base;"
883,Move,"https://reference.opcfoundation.org/MDIS/v130/docs/6.8.4","MDIS Valve Base;"
889,MDISDigitalInstrumentObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.4.3","MDIS Digital Instrument Base;"
971,MDISInstrumentObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.5.3","MDIS Instrument Base;"
1066,MDISChokeObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.6.3","MDIS Choke Base;"
1155,Move,"https://reference.opcfoundation.org/MDIS/v130/docs/6.6.4","MDIS Choke Base;MDIS Electric Choke Base;"
1157,Step,"https://reference.opcfoundation.org/MDIS/v130/docs/6.6.5","MDIS Choke Step Method;"
1159,Abort,"https://reference.opcfoundation.org/MDIS/v130/docs/6.6.6","MDIS Choke Base;"
1183,HasInterlock,"https://reference.opcfoundation.org/MDIS/v130/docs/9.1","MDIS Choke Base;MDIS Electric Choke Base`;MDIS Valve Base;MDIS CIMV Base;MDIS Motor Base;"
1184,InterlockFor,"https://reference.opcfoundation.org/MDIS/v130/docs/9.2","MDIS Choke Base;MDIS Electric Choke Base`;MDIS Valve Base;MDIS CIMV Base;MDIS Motor Base;"
1214,MDISDiscreteInstrumentObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.3.3","MDIS Discrete Instrument Base;"
1230,MDISDigitalOutObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.4.4","MDIS Digital Out Base;"
1240,WriteState,"https://reference.opcfoundation.org/MDIS/v130/docs/6.4.5","MDIS Digital Out Base;"
1242,MDISDiscreteOutObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.3.4","MDIS Discrete Out Base;"
1252,WriteValue,"https://reference.opcfoundation.org/MDIS/v130/docs/6.3.5","MDIS Discrete Out Base;"
1254,MDISInstrumentOutObjectType,"https://reference.opcfoundation.org/MDIS/v130/docs/6.5.4","MDIS Instrument Out Base;"
1277,WriteValue,"https://reference.opcfoundation.org/MDIS/v130/docs/6.5.5","MDIS Instrument Out Base;"
1279,InterlockVariableType,"https://reference.opcfoundation.org/MDIS/v130/docs/7.1","MDIS Valve DefeatableCloseInterlock;MDIS Valve DefeatableOpenInterlock;MDIS Valve NonDefeatableCloseInterlock;MDIS Valve NonDefeatableOpenInterlock;MDIS Choke DefeatableCloseInterlock;MDIS Choke DefeatableOpenInterlock;MDIS Choke NonDefeatableCloseInterlock;MDIS Choke NonDefeatableOpenInterlock;MDIS Electric Choke DefeatableCloseInterlock;MDIS Electric Choke DefeatableOpenInterlock;MDIS Electric Choke NonDefeatableCloseInterlock;MDIS Electric Choke NonDefeatableOpenInterlock;MDIS CIMV NonDefeatableCloseInterlock;MDIS CIMV NonDefeatableOpenInterlock;MDIS CIMV NonDefeatableCommandInProgressInterlock;MDIS Motor DefeatableStartInterlock;MDIS Motor DefeatableStopInterlock;MDIS Motor NonDefeatableStartInterlock;MDIS Motor NonDefeatableStopInterlock;"
1284,SetCalculatedPosition,"https://reference.opcfoundation.org/MDIS/v130/docs/6.6.7","MDIS Choke Base;"
1286,HasSignature,"https://reference.opcfoundation.org/MDIS/v130/docs/9.3","MDIS Valve Base;"
1287,SetCalculatedPositionEnum,"https://reference.opcfoundation.org/MDIS/v130/docs/8.1.3","MDIS Choke Base;"
1289,MDISVersionDataType,"https://reference.opcfoundation.org/MDIS/v130/docs/8.2.1",""
1290,MDISVersionVariableType,"https://reference.opcfoundation.org/MDIS/v130/docs/7.2","MDIS Information version;"
