Id,Name,Link,ConformanceUnits
1002,IVisionInfoType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.5",""
1003,VisionMaintenanceInfoType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.3",""
1004,VisionHealthInfoType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.4",""
1005,VisionItemFolderType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.6",""
1006,VisionMachineIdentificationType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.1",""
1007,VisionComponentIdentificationType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/7.2",""
1008,VisionSystemAssetType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/8.1","VSA_BasicIdentification;VSA_ExtendedIdentification;VSA_MaintenanceInformation;VSA_HealthInformation;"
1009,IComputingDeviceType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.1",""
1010,VisionComputingDeviceType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.2",""
1011,IDisplayUnitType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.3",""
1012,IPhysicalInterfaceType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.5",""
1013,ILensType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.7",""
1014,VisionPhysicalInterfaceType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.6",""
1015,ILightingControllerType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.10",""
1016,ILampType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.12",""
1017,ILicenseType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.25",""
1018,ICableType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.28",""
1019,VisionDisplayUnitType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.4",""
1020,VisionImageSensorType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.14",""
1021,VisionFrameGrabberType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.15",""
1022,VisionLensType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.8",""
1023,VisionLensControllerType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.9",""
1024,VisionOpticalFilterType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.16",""
1025,VisionOtherOpticalEquipmentType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.30",""
1026,VisionWayEncoderType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.17",""
1027,VisionTriggerSensorType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.18",""
1028,VisionLampType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.13",""
1029,VisionLightingControllerType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.11",""
1030,VisionPatternGeneratorType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.19",""
1031,VisionPowerSupplyType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.23",""
1032,VisionAcquisitionBackgroundType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.20",""
1033,VisionSurroundingEnvironmentType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.21",""
1034,VisionHousingType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.22",""
1035,VisionClimateControllerType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.24",""
1036,VisionLicenseType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.26",""
1037,VisionNetworkDeviceType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.27",""
1038,VisionCableType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.29",""
1039,VisionAspectImageTransmitterType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.32",""
1040,VisionAspectImageReceiverType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.31",""
1041,VisionAspectImageTransceiverType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/9.33",""
2002,SEMI_E10SystemStateType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/10.1",""
3002,SEMI_E10SystemStateDataType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/11.1",""
3003,SEMI_E10SystemStateInfoDataType,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/11.2",""
4002,HasOpticalPathTo,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/12.1",""
4003,TransmitsDataTo,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/12.2",""
5005,http://opcfoundation.org/UA/MachineVision/AMCM/,"https://reference.opcfoundation.org/MachineVision/AMCM/v100/docs/14.1",""
