Id,Name,Link,ConformanceUnits
1002,ResultReadyEventType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/8.1","Machinery-Result ResultEvents;"
1003,ResultTransferType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.2.1","Machinery-Result Types;"
1004,ResultManagementType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.1.1","Machinery-Result Types;"
2001,ResultType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/9.1","Machinery-Result Types;"
3002,ResultEvaluationEnum,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.3","Machinery-Result Types;"
3004,ResultTransferOptionsDataType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.2","Machinery-Result Types;"
3005,BaseResultTransferOptionsDataType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.1","Machinery-Result Types;"
3006,ProcessingTimesDataType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.4","Machinery-Result Types;"
3007,ResultMetaDataType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.6","Machinery-Result Types;"
3008,ResultDataType,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/10.5","Machinery-Result Types;"
5007,http://opcfoundation.org/UA/Machinery/Result/,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/12.1",""
7001,GenerateFileForRead,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.2.2",""
7005,GetResultById,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.1.2",""
7006,GetResultIdListFiltered,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.1.3",""
7007,ReleaseResultHandle,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.1.4",""
7008,GetLatestResult,"https://reference.opcfoundation.org/Machinery/Result/v100/docs/7.1.5",""
