Id,Name,Link,ConformanceUnits
1,http://opcfoundation.org/UA/Onboarding/,"https://reference.opcfoundation.org/Onboarding/docs/10.1",""
1164,CertificateAuthorityType,"https://reference.opcfoundation.org/Onboarding/docs/8.2.6","Onboarding Ticket Reader;"
1165,BaseTicketType,"https://reference.opcfoundation.org/Onboarding/docs/8.2.2","Onboarding Ticket Reader;"
1166,DeviceIdentityTicketType,"https://reference.opcfoundation.org/Onboarding/docs/8.2.3","Onboarding Ticket Reader;"
1167,CompositeIdentityTicketType,"https://reference.opcfoundation.org/Onboarding/docs/8.2.4","Onboarding Ticket Reader;"
1168,TicketListType,"https://reference.opcfoundation.org/Onboarding/docs/8.2.5","Onboarding Ticket Reader;"
1175,DeviceRegistrarAdminType,"https://reference.opcfoundation.org/Onboarding/docs/9.2.10","Onboarding Registrar Administration;"
1176,RegisterTickets,"https://reference.opcfoundation.org/Onboarding/docs/9.2.11",""
1179,UnregisterTickets,"https://reference.opcfoundation.org/Onboarding/docs/9.2.12",""
1259,DeviceRegistrarType,"https://reference.opcfoundation.org/Onboarding/docs/9.2.2","Onboarding Registrar PullManagement;"
1260,ProvideIdentities,"https://reference.opcfoundation.org/Onboarding/docs/9.2.3",""
1263,RegisterDeviceEndpoint,"https://reference.opcfoundation.org/Onboarding/docs/9.2.5",""
1344,DeviceRegistrar,"https://reference.opcfoundation.org/Onboarding/docs/9.2.9","Onboarding Registrar PullManagement;"
1345,ProvideIdentities,"https://reference.opcfoundation.org/v105/Onboarding/docs/9.2.3",""
1348,RegisterDeviceEndpoint,"https://reference.opcfoundation.org/v105/Onboarding/docs/9.2.5",""
1351,RegisterTickets,"https://reference.opcfoundation.org/v105/Onboarding/docs/9.2.12",""
1354,UnregisterTickets,"https://reference.opcfoundation.org/v105/Onboarding/docs/9.2.13",""
1495,ManagerDescription,"https://reference.opcfoundation.org/Onboarding/docs/9.2.7","Onboarding Registrar PullManagement;"
1503,UpdateSoftwareStatus,"https://reference.opcfoundation.org/Onboarding/docs/9.2.4",""
1505,GetManagers,"https://reference.opcfoundation.org/Onboarding/docs/9.2.6",""
1507,RegisterManagedApplication,"https://reference.opcfoundation.org/Onboarding/docs/9.2.8",""
1510,UpdateSoftwareStatus,"https://reference.opcfoundation.org/v105/Onboarding/docs/9.2.4",""
1517,DeviceRegistrationAuditEventType,"https://reference.opcfoundation.org/Onboarding/docs/9.2.13","Onboarding Registrar PullManagement;"
1533,DeviceIdentityAcceptedAuditEventType,"https://reference.opcfoundation.org/Onboarding/docs/9.2.14","Onboarding Registrar PullManagement;"
1552,DeviceSoftwareUpdatedAuditEventType,"https://reference.opcfoundation.org/Onboarding/docs/9.2.15","Onboarding Registrar PullManagement;"
25726,EncodedTicket,"https://reference.opcfoundation.org/Onboarding/docs/8.2.1","Onboarding Ticket Reader;"
