ID	Browsename	Node Class
1000	http://opcfoundation.org/UA/PADIM/	Object
1001	IsNamespaceSubset	Variable
1002	NamespacePublicationDate	Variable
1003	NamespaceUri	Variable
1004	NamespaceVersion	Variable
1005	StaticNodeIdTypes	Variable
1006	StaticNumericNodeIdRange	Variable
1007	StaticStringNodeIdPattern	Variable
1008	SignalType	ObjectType
1009	PADIMType	ObjectType
1010	Manufacturer	Variable
1011	ManufacturerUri	Variable
1012	Model	Variable
1013	SerialNumber	Variable
1014	SoftwareRevision	Variable
1015	HardwareRevision	Variable
1016	ProductCode	Variable
1017	RevisionCounter	Variable
1018	DeviceHealthAlarms	Object
1019	AssetId	Variable
1020	ProductInstanceUri	Variable
1021	SignalSetType	ObjectType
1022	AnalogSignalType	ObjectType
1023	ControlSignalType	ObjectType
1024	<SignalIdentifier>	Object
1025	SubDevices	Object
1026	SupportedTypes	Object
1027	AnalogSignal	Variable
1028	FactoryReset	Method
1029	DeviceHealth	Variable
1030	InputArguments	Variable
1031	ControlSignal	Variable
1032	DateOfLastChange	Variable
1033	DisplayLanguage	Variable
1034	SignalSet	Object
1035	SignalTag	Variable
1036	DiscreteSignalType	ObjectType
1037	TwoStateDiscreteSignalType	ObjectType
1038	MultiStateDiscreteSignalType	ObjectType
1039	DiscreteSignal	Variable
1040	TwoStateDiscreteSignal	Variable
1041	MultiStateDiscreteSignal	Variable
1042	CalibrationPointType	ObjectType
1043	CalibrationPointSetType	ObjectType
1044	IGeneralDeviceConditionSetType	ObjectType
1045	ICalibrationType	ObjectType
1046	IPhCalibrationType	ObjectType
1047	IConductivityCalibrationType	ObjectType
1048	IAmperometricCalibrationType	ObjectType
1049	IOpticalFluorescenseQuenchingCalibrationType	ObjectType
1050	IAdministrationType	ObjectType
1051	GeneralDeviceConditionSetType	ObjectType
1052	ISignalSetType	ObjectType
1053	ITocDeviceConditionSetType	ObjectType
1054	IFlameIonisationDeviceConditionSetType	ObjectType
1055	INonDispersiveInfraredSignalConditionSetType	ObjectType
1056	ITocSignalConditionSetType	ObjectType
1057	IParamagneticSignalConditionSetType	ObjectType
1058	IThermalConductivitySignalConditionSetType	ObjectType
1059	ITunableDiodeLaserSignalConditionSetType	ObjectType
1060	IZirconiumDioxideSignalConditionSetType	ObjectType
1061	IPhSignalConditionSetType	ObjectType
1062	IConductivitySignalConditionSetType	ObjectType
1063	IOpticalFluorescenseQuenchingSignalConditionSetType	ObjectType
1064	IAmperometricSignalConditionSetType	ObjectType
1065	AnalyticalSignalType	ObjectType
1066	AmperometricSignalType	ObjectType
1067	ConductivitySignalType	ObjectType
1068	DisplayLanguage	Variable
1069	FlameIonisationSignalType	ObjectType
1070	DateOfLastChange	Variable
1071	NonDispersiveInfraredSignalType	ObjectType
1072	FactoryReset	Method
1073	OpticalFluorescenseQuenchingSignalType	ObjectType
1074	SignalSet	Object
1075	ParamagneticSignalType	ObjectType
1076	PhSignalType	ObjectType
1077	ThermalConductivitySignalType	ObjectType
1078	TocSignalType	ObjectType
1079	TunableDiodeLaserSignalType	ObjectType
1080	InputArguments	Variable
1081	ZirconiumDioxideSignalType	ObjectType
1082	ProcessAnalyserType	ObjectType
1083	AmperometricAnalyserType	ObjectType
1084	ConductivityMeterType	ObjectType
1085	FlameIonisationDetectorType	ObjectType
1086	NonDispersiveInfraredGasAnalyserType	ObjectType
1087	OpticalFluorescenseQuenchingSensorType	ObjectType
1088	ParamagneticGasAnalyserType	ObjectType
1089	PhMeterType	ObjectType
1090	ThermalConductivityGasAnalyserType	ObjectType
1091	TocAnalyserType	ObjectType
1092	TunableDiodeLaserSpectrometerType	ObjectType
1093	ZirconiumDioxideAnalyserType	ObjectType
1094	IGasChromatographCalibrationType	ObjectType
1095	IGasChromatographDeviceConditionSetType	ObjectType
1096	GasChromatographType	ObjectType
1097	InfraredSensorType	ObjectType
1098	AmperometricGasDetectorType	ObjectType
1099	CatalyticBeadSensorType	ObjectType
1100	IFtnirOrFtirDeviceConditionSetType	ObjectType
1101	IDiodeArrayDeviceConditionSetType	ObjectType
1102	DiodeArraySpectrometerType	ObjectType
1103	IRamanDeviceConditionSetType	ObjectType
1104	RamanSpectrometerType	ObjectType
1105	FtnirOrFtirSpectrometerType	ObjectType
1106	IAmperometricGasDetectorSignalConditionSetType	ObjectType
1107	AmperometricGasDetectorSignalType	ObjectType
1108	IGasChromatographSignalConditionSetType	ObjectType
1109	ZeroPointAdjustment	Method
1110	GasChromatographSignalType	ObjectType
1111	AnalogSignalVariableType	VariableType
1112	IFtnirOrFtirSignalConditionSetType	ObjectType
1113	SimulationState	Variable
1114	FtnirOrFtirSignalType	ObjectType
1115	ActualValue	Variable
1116	AutoAdjustPositioner	Method
1117	SimulationValue	Variable
1118	Damping	Variable
1119	InputArguments	Variable
1120	TemperatureMeasurementVariableType	VariableType
1121	PressureMeasurementVariableType	VariableType
1122	FlowMeasurementVariableType	VariableType
1123	LevelMeasurementVariableType	VariableType
1124	ActualDensityVariableType	VariableType
1125	ControlVariableType	VariableType
1126	TotalizerVariableType	VariableType
1127	AnalyticalMeasurementVariableType	VariableType
1128	SensorType	Variable
1129	SensorConnection	Variable
1130	SensorReference	Variable
1131	LowFlowCutOff	Variable
1132	FlowDirection	Variable
1133	MassFlowRateVariableType	VariableType
1134	ActualVolumeFlowRateVariableType	VariableType
1135	NormalizedVolumeFlowRateVariableType	VariableType
1136	Setpoint	Variable
1137	OperatingDirection	Variable
1138	ActuatorType	Variable
1139	PulseValue	Variable
