Id,Name,Link,ConformanceUnits
1002,FilterSystemType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.5.1","PAEFS FilterSystemType Basic;PAEFS FilterSystemType Advanced;PAEFS FilterSystem Machine Identification;PAEFS FilterSystem Statemachine;PAEFS Operation FilterSystemType;PAEFS FilterSystemType Events;"
1003,SeparatorType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.12","PAEFS SeparatorType Basic;PAEFS SeparatorType Advanced;"
1004,FilterAidDeviceType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.11.1","PAEFS FilterAidDeviceType Basic;PAEFS FilterAidDeviceType Advanced;PAEFS FilterAidDeviceType Events;PAEFS FilterAidDeviceType Methods;PAEFS Additional Statemachines;"
1005,CleaningUnitType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.20.1","PAEFS CleaningUnitType Basic;PAEFS CleaningUnitType Advanced;PAEFS CleaningUnitType Events;PAEFS CleaningUnitType Methods;PAEFS Additional Statemachines;"
1006,DischargeSystemType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.22","PAEFS DischargeSystemType Basic;PAEFS DischargeSystemType Advanced;PAEFS DischargeSystemType Events;"
1007,AirConnectionType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.7.1","PAEFS AirConnectionType Basic;PAEFS AirConnectionType Advanced;PAEFS AirConnectionType Events;PAEFS AirConnectionType Methods;"
1008,SafetySystemType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.10","PAEFS SafetySystemType Basic;PAEFS SafetySystemType Advanced;PAEFS SafetySystemType Events;PAEFS Additional Statemachines;"
1009,FanType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.8","PAEFS FanType Basic;PAEFS FanType Advanced;PAEFS Additional Statemachines;PAEFS FanType Events;"
1010,SensorMonitoringType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.1","PAEFS SensorMonitoringType Basic;PAEFS SensorMonitoringType Advanced;"
1011,ConsumptionType,"https://reference.opcfoundation.org/PAEFS/v100/docs/7.4","PAEFS ConsumptionType Basic;PAEFS ConsumptionType Advanced;"
