Id,Name,Link,ConformanceUnits
1002,EncoderChannelType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.1","PNENC Signals;PNENC Measurement;PNENC Diagnosis Events;"
1003,LogbookEventType,"https://reference.opcfoundation.org/PNENC/v100/docs/8.4","PNENC Logbook Events;"
1004,EncoderRefLatchEventType,"https://reference.opcfoundation.org/PNENC/v100/docs/8.3","PNENC Sensor Events;"
1005,EncoderProbeLatchEventType,"https://reference.opcfoundation.org/PNENC/v100/docs/8.2","PNENC Probes Events;"
1006,EncoderDiagnosisEventType,"https://reference.opcfoundation.org/PNENC/v100/docs/8.1","PNENC Diagnosis Events;"
1007,EncoderSensorConfigType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.8","PNENC Config Readable;PNENC Config Writable;"
1008,EncoderControlConfigType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.7","PNENC Config Readable;PNENC Config Writable;"
1009,EncoderAxisConfigType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.6","PNENC Config Readable;PNENC Config Writable;"
1010,LogbookType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.5","PNENC Logbook;"
1011,EncoderProbeType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.4","PNENC Probes;"
1012,EncoderProbesType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.3","PNENC Probes;"
1013,EncoderSensorType,"https://reference.opcfoundation.org/PNENC/v100/docs/7.2","PNENC Sensor;"
3002,EncoderChannelStateEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.3","PNENC Measurement;"
3003,EventTypeEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.2","PNENC Logbook Readable;PNENC Logbook Events;PNENC Diagnosis Events;"
3004,EncoderAxisTypeEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.4","PNENC Config Readable;PNENC Config Writable;"
3005,EncoderCodeSequenceEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.5","PNENC Config Readable;PNENC Config Writable;"
3006,EncoderAlarmChannelControlEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.6","PNENC Config Readable;PNENC Config Writable;"
3007,EncoderPresetControlEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.7","PNENC Signals;PNENC Config Readable;PNENC Config Writable;"
3008,EncoderSensorAbsoluteTypeEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.8","PNENC Config Readable;PNENC Config Writable;"
3009,EncoderSignalTypeEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.9","PNENC Measurement;"
3010,EncoderConfigParameterResultEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.10","PNENC Config Writable;"
3011,EncoderConfigTypeEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.11","PNENC Config Readable;PNENC Config Writable;"
3012,EncoderDiagnosisReasonEnumeration,"https://reference.opcfoundation.org/PNENC/v100/docs/10.12","PNENC Diagnosis Events;"
3013,LogEntryDataType,"https://reference.opcfoundation.org/PNENC/v100/docs/10.1","PNENC Logbook Readable;"
5013,http://opcfoundation.org/UA/PNENC/,"https://reference.opcfoundation.org/PNENC/v100/docs/12.1",""
7001,SetApplicationTag,"https://reference.opcfoundation.org/PNENC/v100/docs/7.1",""
7006,SetSensorConfig,"https://reference.opcfoundation.org/PNENC/v100/docs/7.8",""
7007,SetControlConfig,"https://reference.opcfoundation.org/PNENC/v100/docs/7.7",""
7008,SetAxisConfig,"https://reference.opcfoundation.org/PNENC/v100/docs/7.6",""
7010,GetFilteredLogbookEntries,"https://reference.opcfoundation.org/PNENC/v100/docs/7.5",""
7011,GetCurrentFaultSituation,"https://reference.opcfoundation.org/PNENC/v100/docs/7.5",""
7012,GetHistoricFaultSituation,"https://reference.opcfoundation.org/PNENC/v100/docs/7.5",""
7013,GetActiveDiagnosis,"https://reference.opcfoundation.org/PNENC/v100/docs/7.5",""
7019,PresetControl,"https://reference.opcfoundation.org/PNENC/v100/docs/7.2",""
