Id,Name,Link,ConformanceUnits
1002,GsdGenAlarmEventType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/8.1","PNGSDGM Alarm Event;"
1003,GsdGenIoChannelQualityType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.5","PNGSDGM IO Data;"
1004,GsdGenIoChannelDataType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.4","PNGSDGM IO Data;"
1005,GsdGenIoChannelType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.3","PNGSDGM IO Data;"
1006,GsdGenIoDataType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.2","PNGSDGM IO Data;"
1007,GsdGenSubmoduleApplicationType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.1","PNGSDGM Device;PNGSDGM Parameter;PNGSDGM IO Data;PNGSDGM Data Objects;PNGSDGM BMP Access;PNGSDGM Alarm Event;"
2002,GsdGenParameterVariableType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/9.3","PNGSDGM Parameter;"
2003,GsdGenIoBitDataItemVariableType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/9.2","PNGSDGM IO Data;"
2004,GsdGenIoDataItemVariableType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/9.1","PNGSDGM IO Data;"
3002,GsdGenIoConsistencyEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.3","PNGSDGM IO Data;"
3003,GsdGenIoQualityFormatEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.6","PNGSDGM IO Data;"
3004,GsdGenChannelAccumulativeEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.7","PNGSDGM IO Data;"
3005,GsdGenChannelMaintenanceEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.8","PNGSDGM IO Data;"
3006,GsdGenChannelSpecifierEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.9","PNGSDGM IO Data;"
3007,GsdGenChannelDirectionEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.10","PNGSDGM IO Data;"
3008,GsdGenIoTimeStampDataType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.2","PNGSDGM IO Data;PNGSDGM Data Objects;"
3009,GsdGenIoTimeDataType,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.1","PNGSDGM BMP Access;"
3012,GsdGenIoCommunicationStatusEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.4","PNGSDGM IO Data;"
3015,GsdGenIoConfigurationStatusEnumeration,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/10.5","PNGSDGM IO Data;"
4002,HasInputData,"",""
4003,HasOutputData,"",""
5017,http://opcfoundation.org/UA/PNGSDGM/,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/12.1",""
7001,SetApplicationTag,"https://reference.opcfoundation.org/PNGSDGM/v100/docs/7.1",""
