Id,Name,Link,ConformanceUnits
1003,PtEncoderInterfaceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.12/#7.8.12.1","Powertrain Attributes Information;"
1004,PtCapacitanceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.3/#7.9.3.1","Powertrain Attributes Information;"
1005,PtAssetDcBusModuleType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.4/#7.4.4.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1006,PtReactorAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.5/#7.9.5.1","Powertrain Attributes Information;"
1007,PtAssetReactorFilterType,"",""
1008,PtBleedAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.1/#7.9.1.1","Powertrain Attributes Information;"
1009,PtMotorRotaryAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.2/#7.8.2.1","Powertrain Attributes Information;"
1010,PtPrechargeAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.9/#7.9.9.1","Powertrain Attributes Information;"
1011,PtAssetDriveIntegratedMotorRotaryType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.4/#7.3.4.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1012,PtMotorLinearAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.3/#7.8.3.1","Powertrain Attributes Information;"
1013,PtAssetBleedType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.2/#7.4.2.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1014,PtElectronicOverloadRelayAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.10.2/#7.10.2.1","Powertrain Attributes Information;"
1015,PtMotorRotaryRatedAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.5/#7.8.5.1","Powertrain Attributes Information;"
1016,PtAssetFrequencyConverterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.5.2/#7.5.2.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1017,PtAssetDriveIntegratedMotorLinearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.5/#7.3.5.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1018,PtMotorLinearRatedAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.6/#7.8.6.1","Powertrain Attributes Information;"
1019,PtSoftStarterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.10.4/#7.10.4.1","Powertrain Attributes Information;"
1020,PtAssetServoDriveType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.5.4/#7.5.4.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1021,PtEncoderRotaryAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.10/#7.8.10.1","Powertrain Attributes Information;"
1022,PtAssetInputOutputConverterType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.4.7/#7.4.7.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1023,PtMotorManagementDeviceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.10.5/#7.10.5.1","Powertrain Attributes Information;"
1024,PtEncoderLinearAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.8.11/#7.8.11.1","Powertrain Attributes Information;"
1025,PtAssetGearMotorRotaryType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.6/#7.3.6.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1026,PtAssetElectricOverloadRelayType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.6.2/#7.6.2.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1027,PtAssetMotorRotaryType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.2/#7.3.2.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1028,PtAssetVariableSpeedDriveType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.5.3/#7.5.3.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1029,PtAssetGearMotorLinearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.7/#7.3.7.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
1030,PtAssetMotorLinearType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.3.3/#7.3.3.1","Powertrain Base System;Powertrain Asset Identification;Powertrain Asset Identification Writable Tag;Powertrain Asset Attributes Types;Powertrain Attributes Information;"
