Id,Name,Link,ConformanceUnits
1002,MotionDeviceSystemType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.1.2","Rob MotionDeviceSystem Base;"
1003,ControllerType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.18.2","Rob System Monitor;Rob System Operation;Rob Program File Directory;Rob System Events;Rob Controller AM Extended;Rob Controller AM Extended;Rob MotionDeviceSystem Base;"
1004,MotionDeviceType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.2.2","Rob MotionDeviceSystem Base;Rob MotionDevice AM Extended;Rob MotionDevice CM Extended;Rob MotionDevice Flangeload;Rob TC Relationship;"
1006,OperationStateMachineType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.10.1",""
1007,ExecutingSubstateMachineType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.14.1","Rob System ExecutingSubstate;Rob System Events;"
1008,TaskControlOperationType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.15.1","Rob Task Control Monitor;Rob Task Control Operation;Rob TC MD Relationship;"
1009,IdleSubstateMachineType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.13.1","Rob System IdleSubstate;Rob System Events;"
1011,TaskControlType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.21.2","Rob Task Control CM Extended;Rob Task Control Monitor;Rob Task Control Operation;Rob Task Control Modules;Rob MotionDeviceSystem Base;"
1012,ReadySubstateMachineType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.17.1","Rob Task Control ReadySubstate;Rob Task Control Ready Reset;"
1013,SafetyStateType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.7.2","Rob MotionDeviceSystem Base;Rob Emergency Stop Function;Rob Protective Stop Function;"
1015,MultiAcknowledgeableConditionType,"https://reference.opcfoundation.org/Robotics/v100/docs/9.1","Rob RobAckCondInstance;"
1016,TaskModuleType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.22.2","Rob Task Control Modules;"
1018,LoadType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.23.2",""
1019,MotorType,"https://reference.opcfoundation.org/Robotics/v100/docs/7.5.2","Rob MotionDeviceSystem Base;Rob Motor AM Extended;Rob Motor CM Extended;"
