Id,Name,Link,ConformanceUnits
1,WeighingModuleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.50.2",""
2,ScaleDeviceType,"https://reference.opcfoundation.org/Scales/v101/docs/8.4.2",""
3,SimpleScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.44.2",""
4,CatchweigherType,"https://reference.opcfoundation.org/Scales/v101/docs/8.11.2",""
5,AutomaticFillingScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.9.2",""
6,PieceCountingScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.27.2",""
7,RecipeScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.2",""
8,TotalizingHopperScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.42.2",""
9,HopperScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.47.2",""
10,ContinuousScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.24.2",""
11,ProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.8.2",""
12,PieceCountingProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.28.2",""
13,ScaleEventType,"https://reference.opcfoundation.org/Scales/v101/docs/9.1.2",""
14,ProductionPresetType,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.2",""
15,LaboratoryScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.46.2",""
16,AutomaticFillingProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.10.2",""
17,CatchweigherProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.12.2",""
18,ContinuousProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.25.2",""
19,RecipeProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.30.2",""
20,SimpleProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.45.2",""
21,ScaleAlarmType,"https://reference.opcfoundation.org/Scales/v101/docs/9.2.2",""
22,TotalizingHopperProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.43.2",""
23,WeighingRangeElementType,"https://reference.opcfoundation.org/Scales/v101/docs/8.5.2",""
24,WeighingItemType,"https://reference.opcfoundation.org/Scales/v101/docs/8.13.2",""
25,StatisticType,"https://reference.opcfoundation.org/Scales/v101/docs/8.6.2",""
26,FloatingStatisticType,"https://reference.opcfoundation.org/Scales/v101/docs/8.52.2",""
27,TotalizerType,"https://reference.opcfoundation.org/Scales/v101/docs/8.53.2",""
28,FeederModuleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.1.2",""
29,PrinterModuleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.2.2",""
30,RecipeManagementType,"https://reference.opcfoundation.org/Scales/v101/docs/8.32.2",""
31,RecipeType,"https://reference.opcfoundation.org/Scales/v101/docs/8.31.2",""
32,RecipeElementType,"https://reference.opcfoundation.org/Scales/v101/docs/8.33.2",""
33,UserInstructionType,"https://reference.opcfoundation.org/Scales/v101/docs/8.39.2",""
34,WeighingType,"https://reference.opcfoundation.org/Scales/v101/docs/8.40.2",""
35,MaterialType,"https://reference.opcfoundation.org/Scales/v101/docs/8.51.2",""
36,TimerType,"https://reference.opcfoundation.org/Scales/v101/docs/8.38.2",""
37,ConditionSleepType,"https://reference.opcfoundation.org/Scales/v101/docs/8.35.2",""
38,AnalogConditionSleepType,"https://reference.opcfoundation.org/Scales/v101/docs/8.36.2",""
39,EdgeTriggeredSleepType,"https://reference.opcfoundation.org/Scales/v101/docs/8.37.2",""
40,ActivationType,"https://reference.opcfoundation.org/Scales/v101/docs/8.34.2",""
41,MaterialAutomaticType,"https://reference.opcfoundation.org/Scales/v101/docs/8.41.2",""
42,ZoneType,"https://reference.opcfoundation.org/Scales/v101/docs/8.23.2",""
43,StatisticCounterType,"https://reference.opcfoundation.org/Scales/v101/docs/8.20.2",""
44,ScaleSystemType,"https://reference.opcfoundation.org/Scales/v101/docs/8.3.2",""
45,CheckweigherType,"https://reference.opcfoundation.org/Scales/v101/docs/8.17.2",""
46,CheckweigherProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.18.2",""
47,AutomaticWeightPriceLabelerProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.15.2",""
48,CheckweigherStatisticType,"https://reference.opcfoundation.org/Scales/v101/docs/8.19.2",""
49,AutomaticWeightPriceLabelerType,"https://reference.opcfoundation.org/Scales/v101/docs/8.14.2",""
50,LossInWeightScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.26.2",""
51,TargetItemType,"https://reference.opcfoundation.org/Scales/v101/docs/10.1.2",""
52,MeasuredItemType,"https://reference.opcfoundation.org/Scales/v101/docs/10.2.2",""
53,WeightItemType,"https://reference.opcfoundation.org/Scales/v101/docs/10.3.2",""
54,TareMode,"https://reference.opcfoundation.org/Scales/v101/docs/11.9",""
55,WeightType,"https://reference.opcfoundation.org/Scales/v101/docs/11.3",""
56,PrintableWeightType,"https://reference.opcfoundation.org/Scales/v101/docs/11.2",""
57,RecipeThresholdType,"https://reference.opcfoundation.org/Scales/v101/docs/11.11",""
58,RecipeTargetValueType,"https://reference.opcfoundation.org/Scales/v101/docs/11.5",""
59,RecipeReportElementType,"https://reference.opcfoundation.org/Scales/v101/docs/11.4",""
60,ToleranceState,"https://reference.opcfoundation.org/Scales/v101/docs/11.10",""
61,EqualityAndRelationalOperator,"https://reference.opcfoundation.org/Scales/v101/docs/11.6",""
62,EdgeOperator,"https://reference.opcfoundation.org/Scales/v101/docs/11.7",""
63,AbstractWeightType,"https://reference.opcfoundation.org/Scales/v101/docs/11.1",""
65,DraftShieldType,"https://reference.opcfoundation.org/Scales/v101/docs/11.8",""
66,NextRecipeElement,"https://reference.opcfoundation.org/Scales/v101/docs/12.1",""
453,SetFeederSpeed,"https://reference.opcfoundation.org/Scales/v101/docs/8.1.4",""
456,AddRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.32.4",""
458,StartRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.4",""
459,RemoveRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.32.5",""
460,SetTargetItemCount,"https://reference.opcfoundation.org/Scales/v101/docs/8.28.4",""
464,SelectProduct,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.5",""
465,AddRecipeElement,"https://reference.opcfoundation.org/Scales/v101/docs/8.31.4",""
466,RemoveRecipeElement,"https://reference.opcfoundation.org/Scales/v101/docs/8.31.5",""
525,AddZone,"https://reference.opcfoundation.org/Scales/v101/docs/8.12.4",""
526,RemoveZone,"https://reference.opcfoundation.org/Scales/v101/docs/8.12.5",""
540,RelativePath,"https://reference.opcfoundation.org/Scales/v101/docs/5.2.4",""
540,DischargeStop,"https://reference.opcfoundation.org/Scales/v101/docs/5.2.4",""
576,DeselectProduct,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.6",""
577,SetTargetPieceCount,"https://reference.opcfoundation.org/Scales/v101/docs/8.28.5",""
602,StartReference,"https://reference.opcfoundation.org/Scales/v101/docs/8.27.5",""
603,SetReferencePieceWeight,"https://reference.opcfoundation.org/Scales/v101/docs/8.27.4",""
638,AddProduct,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.4",""
646,RemoveProduct,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.7",""
758,OpenDraftShields,"https://reference.opcfoundation.org/Scales/v101/docs/8.46.5",""
761,CloseDraftShields,"https://reference.opcfoundation.org/Scales/v101/docs/8.46.4",""
783,StopRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.5",""
784,ContinueRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.6",""
785,SkipCurrentRecipeElement,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.7",""
786,AbortRecipe,"https://reference.opcfoundation.org/Scales/v101/docs/8.29.8",""
832,VehicleProductType,"https://reference.opcfoundation.org/Scales/v101/docs/8.49.2",""
833,PriceItemType,"https://reference.opcfoundation.org/Scales/v101/docs/8.16.2",""
834,VehicleScaleType,"https://reference.opcfoundation.org/Scales/v101/docs/8.48.2",""
839,http://opcfoundation.org/UA/Scales,"https://reference.opcfoundation.org/Scales/v101/docs/14.1",""
1021,SwitchProduct,"https://reference.opcfoundation.org/Scales/v101/docs/8.7.8",""
1022,InboundWeighing,"https://reference.opcfoundation.org/Scales/v101/docs/8.48.4",""
1023,OutboundWeighing,"https://reference.opcfoundation.org/Scales/v101/docs/8.48.5",""
1024,OnePassWeighing,"https://reference.opcfoundation.org/Scales/v101/docs/8.48.6",""
1026,SetNumberOfReferencePieces,"https://reference.opcfoundation.org/Scales/v101/docs/8.27.6",""
1027,AcceptedStatisticCounterType,"https://reference.opcfoundation.org/Scales/v101/docs/8.21.2",""
1028,RejectedStatisticCounterType,"https://reference.opcfoundation.org/Scales/v101/docs/8.22.2",""
1396,GetVehicleInformation,"https://reference.opcfoundation.org/Scales/v101/docs/8.49.4",""
1407,SetPresetTare,"https://reference.opcfoundation.org/Scales/v101/docs/8.4.6",""
