Id,Name,Link,ConformanceUnits
1,http://opcfoundation.org/UA/Scheduler/,"https://reference.opcfoundation.org/Scheduler/docs/10.1",""
37,CalendarType,"https://reference.opcfoundation.org/Scheduler/docs/7.1.2","Scheduler Calendar Base;"
40,AddDateListElements,"https://reference.opcfoundation.org/Scheduler/docs/7.1.3",""
43,RemoveDateListElements,"https://reference.opcfoundation.org/Scheduler/docs/7.1.4",""
52,ScheduleType,"https://reference.opcfoundation.org/Scheduler/docs/7.2.2","Scheduler Scheduling Base;"
54,AddExceptionScheduleElements,"https://reference.opcfoundation.org/Scheduler/docs/7.2.3",""
57,RemoveExceptionScheduleElements,"https://reference.opcfoundation.org/Scheduler/docs/7.2.4",""
70,SpecialEventType,"https://reference.opcfoundation.org/Scheduler/docs/8.1","Scheduler Scheduling Base;"
71,SpecialEventPeriodType,"https://reference.opcfoundation.org/Scheduler/docs/8.2","Scheduler Scheduling Base;"
72,CalendarEntryType,"https://reference.opcfoundation.org/Scheduler/docs/8.3","Scheduler Scheduling Base;Scheduler Calendar Base;"
73,DateType,"https://reference.opcfoundation.org/Scheduler/docs/8.4","Scheduler Scheduling Base;Scheduler Calendar Base;"
74,Month,"https://reference.opcfoundation.org/Scheduler/docs/8.5","Scheduler Scheduling Base;Scheduler Calendar Base;"
76,DayOfMonth,"https://reference.opcfoundation.org/Scheduler/docs/8.6","Scheduler Scheduling Base;Scheduler Calendar Base;"
78,DayOfWeek,"https://reference.opcfoundation.org/Scheduler/docs/8.7","Scheduler Scheduling Base;Scheduler Calendar Base;"
80,DateRangeType,"https://reference.opcfoundation.org/Scheduler/docs/8.8","Scheduler Scheduling Base;Scheduler Calendar Base;"
81,TimeActionsType,"https://reference.opcfoundation.org/Scheduler/docs/8.9","Scheduler Scheduling Base;"
82,BaseActionType,"https://reference.opcfoundation.org/Scheduler/docs/8.10","Scheduler Scheduling Base;"
83,WriteLocalVariableActionType,"https://reference.opcfoundation.org/Scheduler/docs/8.11","Scheduler Scheduling Base;"
84,CallLocalMethodActionType,"https://reference.opcfoundation.org/Scheduler/docs/8.12","Scheduler Scheduling Base;"
85,TimeType,"https://reference.opcfoundation.org/Scheduler/docs/8.13","Scheduler Scheduling Base;"
86,DailyScheduleType,"https://reference.opcfoundation.org/Scheduler/docs/8.14","Scheduler Scheduling Base;"
