IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA000,705741328,%,percent
0112/2///62720#UAA001,705741329,%/Ω,percent per ohm
0112/2///62720#UAA002,705741330,%/°,percent per degree
0112/2///62720#UAA003,705741331,%/°C,percent per degree Celsius
0112/2///62720#UAA004,705741332,%/10000,percent per ten thousand
0112/2///62720#UAA005,705741333,%/100000,percent per one hundred thousand
0112/2///62720#UAA006,705741334,%/100,percent per hundred
0112/2///62720#UAA007,705741335,%/1000,percent per thousand
0112/2///62720#UAA008,705741336,%/K,percent per kelvin
0112/2///62720#UAA009,705741337,%/V,percent per volt
0112/2///62720#UAA010,705741360,%/bar,percent per bar
0112/2///62720#UAA012,705741362,%/in,percent per inch
0112/2///62720#UAA013,705741363,%/m,percent per metre
0112/2///62720#UAA014,705741364,%/mm,percent per millimetre
0112/2///62720#UAA015,705741365,‰,part per thousand
0112/2///62720#UAA016,705741366,‰/psi,per mille per psi
0112/2///62720#UAA017,705741367,Ω,ohm
0112/2///62720#UAA018,705741368,Ω·km,ohm kilometre
0112/2///62720#UAA019,705741369,Ω/km,ohm per kilometre
0112/2///62720#UAA020,705741392,Ω·m,ohm metre
0112/2///62720#UAA021,705741393,Ω/m,ohm per metre
0112/2///62720#UAA022,705741394,Ω/mi,ohm per mile
0112/2///62720#UAA023,705741395,Å,angstrom
0112/2///62720#UAA024,705741396,°,degree [unit of angle]
0112/2///62720#UAA025,705741397,°/m,degree per metre
0112/2///62720#UAA026,705741398,°/s,degree per second
0112/2///62720#UAA027,705741399,°API,degree API
0112/2///62720#UAA028,705741400,°Bé,degree Baume (origin scale)
0112/2///62720#UAA029,705741401,°Bé (US heavy),degree Baume (US heavy)
0112/2///62720#UAA030,705741424,°Bé (US light),degree Baume (US light)
0112/2///62720#UAA031,705741425,°Balling,degree Balling
0112/2///62720#UAA032,705741426,°Bx,degree Brix
0112/2///62720#UAA033,705741427,°C,degree Celsius
0112/2///62720#UAA034,705741428,°C/K,degree Celsius per kelvin
0112/2///62720#UAA035,705741429,°C/bar,degree Celsius per bar
0112/2///62720#UAA036,705741430,°C/h,degree Celsius per hour
0112/2///62720#UAA037,705741431,°C/min,degree Celsius per minute
0112/2///62720#UAA038,705741432,°C/s,degree Celsius per second
0112/2///62720#UAA039,705741433,°F,degree Fahrenheit
0112/2///62720#UAA040,705741456,°F·h·ft²/Btuth,degree Fahrenheit hour square foot per British thermal unit (thermochemical)
0112/2///62720#UAA041,705741457,°F/K,degree Fahrenheit per kelvin
0112/2///62720#UAA042,705741458,°F/bar,degree Fahrenheit per bar
0112/2///62720#UAA043,705741459,°F·h·ft²/BtuIT,degree Fahrenheit hour square foot per British thermal unit (international table)
0112/2///62720#UAA044,705741460,°F/h,degree Fahrenheit per hour
0112/2///62720#UAA045,705741461,°F/min,degree Fahrenheit per minute
0112/2///62720#UAA046,705741462,°F/s,degree Fahrenheit per second
0112/2///62720#UAA047,705741463,°F⁻¹,reciprocal degree Fahrenheit
0112/2///62720#UAA048,705741464,°Oechsle,degree Oechsle
0112/2///62720#UAA049,705741465,°P,degree Plato
0112/2///62720#UAA050,705741488,°R,degree Rankine
0112/2///62720#UAA051,705741489,°R/h,degree Rankine per hour
0112/2///62720#UAA052,705741490,°R/min,degree Rankine per minute
0112/2///62720#UAA053,705741491,°R/s,degree Rankine per second
0112/2///62720#UAA054,705741492,°Tw,degree Twaddell
0112/2///62720#UAA055,705741493,µΩ,microohm
0112/2///62720#UAA056,705741494,µΩ·m,microohm metre
0112/2///62720#UAA057,705741495,µA,microampere
0112/2///62720#UAA058,705741496,µBq,microbecquerel
0112/2///62720#UAA059,705741497,µC,microcoulomb
0112/2///62720#UAA060,705741520,µC/m²,microcoulomb per square metre
0112/2///62720#UAA061,705741521,µC/m³,microcoulomb per cubic metre
0112/2///62720#UAA062,705741522,µCi,microcurie
0112/2///62720#UAA063,705741523,µF,microfarad
0112/2///62720#UAA064,705741524,µF/km,microfarad per kilometre
0112/2///62720#UAA065,705741525,µF/m,microfarad per metre
0112/2///62720#UAA066,705741526,µH,microhenry
0112/2///62720#UAA067,705741527,µH/Ω,microhenry per ohm
0112/2///62720#UAA068,705741528,µH/kΩ,microhenry per kiloohm
0112/2///62720#UAA069,705741529,µH/m,microhenry per metre
0112/2///62720#UAA070,705741552,µN,micronewton
0112/2///62720#UAA071,705741553,µN·m,micronewton metre
0112/2///62720#UAA072,705741554,µP,micropoise
0112/2///62720#UAA073,705741555,µPa,micropascal
0112/2///62720#UAA074,705741556,µS,microsiemens
0112/2///62720#UAA075,705741557,µS/cm,microsiemens per centimetre
0112/2///62720#UAA076,705741558,µS/m,microsiemens per metre
0112/2///62720#UAA077,705741559,µT,microtesla
0112/2///62720#UAA078,705741560,µV,microvolt
