Id,Name,Link,ConformanceUnits
1,Boolean,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.8","Base Info Base Types;"
2,SByte,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.17","Base Info Base Types;"
3,Byte,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.9","Base Info Base Types;"
4,Int16,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.25","Base Info Base Types;"
5,UInt16,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.35","Base Info Base Types;"
6,Int32,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.26","Base Info Base Types;"
7,UInt32,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.36","Base Info Base Types;"
8,Int64,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.27","Base Info Base Types;"
9,UInt64,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
10,Float,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.15","Base Info Base Types;"
11,Double,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
12,String,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
13,DateTime,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
14,Guid,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.16","Base Info Base Types;"
15,ByteString,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
16,XmlElement,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.39","Base Info Base Types;"
17,NodeId,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.2.1","Base Info Base Types;"
18,ExpandedNodeId,"https://reference.opcfoundation.org/v104/Core/docs/Part4/7.11","Base Info Base Types;"
19,StatusCode,"https://reference.opcfoundation.org/v104/Core/docs/Part4/7.34.1","Base Info Base Types;"
20,QualifiedName,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.3","Base Info Base Types;"
21,LocalizedText,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.5","Base Info Base Types;"
22,Structure,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
23,DataValue,"https://reference.opcfoundation.org/v104/Core/docs/Part4/7.7.1","Base Info Base Types;"
24,BaseDataType,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
25,DiagnosticInfo,"https://reference.opcfoundation.org/v104/Core/docs/Part4/7.8","Base Info Base Types;"
26,Number,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
27,Integer,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
28,UInteger,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
29,Enumeration,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
30,Image,"https://reference.opcfoundation.org/v104/Core/docs/Part5/12.2",""
31,References,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.1",""
32,NonHierarchicalReferences,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.3",""
33,HierarchicalReferences,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.2",""
34,HasChild,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.4",""
35,Organizes,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.6",""
36,HasEventSource,"https://reference.opcfoundation.org/v104/Core/docs/Part5/11.14",""
