Id,Name,Link,ConformanceUnits
2,AutomationComponentType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.2.2","UAFX AutomationComponent Base;"
3,FxAssetType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.2","UAFX FXAsset Type;"
4,FunctionalEntityType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.4.2","UAFX FunctionalEntity Base;"
5,AssetConnectorType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.4","UAFX AssetConnector Slot Base;UAFX AssetConnector Socket Base;UAFX AssetConnector Clamp Base;UAFX AssetConnector ClampBlock Base;"
6,SlotType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.5","UAFX AssetConnector Slot Base;"
7,ClampBlockType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.8","UAFX AssetConnector ClampBlock Base;"
8,SocketType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.6","UAFX AssetConnector Socket Base;"
9,IAssetRevisionType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/7.3","UAFX Asset Base;"
10,ClampType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.3.7","UAFX AssetConnector Clamp Base;UAFX AssetConnector ClampBlock Base;"
11,IFunctionalEntityType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/7.2","UAFX FunctionalEntity Base;"
15,ControlGroupType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.5.2","UAFX IFunctionalEntity ControlGroups;"
20,ConnectionEndpointsFolderType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.4.8","UAFX FunctionalEntity Base;"
25,FxVersion,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.25","UAFX AcDescriptor DescriptorIdentifier;UAFX FunctionalEntity Base;"
28,ApplicationIdentifierDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.3","UAFX FunctionalEntity Base;"
31,PubSubConnectionEndpointModeEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.37","UAFX ConnectionEndpoint PubSub;UAFX ConnectionManager Base;"
34,HasBuiltInAsset,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.4","UAFX Asset Base;"
35,HasPart,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.14","UAFX Asset Base;"
37,ConnectedTo,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.2","UAFX Asset Base;"
41,HasConnectionEndpoint,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.10","UAFX FunctionalEntity Base;"
42,ToDataSetReader,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.20","UAFX ConnectionEndpoint PubSub;"
43,HasSubFunctionalEntity,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.16","UAFX FunctionalEntity Base;"
44,HasControlGroup,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.11","UAFX FunctionalEntity Base;"
46,ToDataSetWriter,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.21","UAFX ConnectionEndpoint PubSub;"
290,EstablishControl,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.5.3","UAFX IFunctionalEntity ControlGroups;"
