Id,Name,Link,ConformanceUnits
1001,SubscriberConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.13.3/#6.13.3.3","UAFX ConnectionManager PubSubCommunicationFlowConfiguration;"
1002,ConnectionManagerType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.7.2","UAFX ConnectionManager Base;"
1003,CommunicationFlowConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.13.2","UAFX ConnectionManager Base;"
1006,ConnectionConfigurationSetEventType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/8.5","UAFX Connection Configuration Set Processing Events;"
1007,ConnectionConfigurationSetProcessingStartedEventType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/8.6","UAFX Connection Configuration Set Processing Events;"
1008,ConnectionConfigurationSetProcessingSucceededEventType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/8.7","UAFX Connection Configuration Set Processing Events;"
1009,ConnectionConfigurationSetProcessingFailedEventType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/8.8","UAFX Connection Configuration Set Processing Events;"
1010,ConnectionManagerCapabilitiesType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.7.6","UAFX ConnectionManager Capabilities;"
1011,ConnectionManagerConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.3.1","UAFX ConnectionManager Configuration;"
1012,ConnectionConfigurationSetType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.8.2","UAFX ConnectionManager Base;"
1013,ConnectionConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.10.2","UAFX ConnectionManager Base;"
1014,PubSubCommunicationFlowConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.13.3/#6.13.3.2","UAFX ConnectionManager PubSubCommunicationFlowConfiguration;"
1016,CommunicationModelConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.16.2","UAFX ConnectionManager Base;"
1018,ConnectionConfigurationSetStateMachineType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.9.2","UAFX ConnectionManager Base;"
1019,IConnectionManagerType,"",""
1035,PortableKeyValuePair,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.31","UAFX ConnectionManager Base;"
1036,ServerAddressDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.42","UAFX ConnectionManager Base;"
1042,PubSubCommunicationModelConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.16.3/#6.16.3.2","UAFX ConnectionManager Base;"
1047,PortableRelativePath,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.34","UAFX ConnectionManager Base;"
1051,PortableRelativePathElement,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.35","UAFX ConnectionManager Base;"
1053,HasServerAddress,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.15","UAFX ConnectionManager Base;"
1057,HasConnectionConfiguration,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.9","UAFX ConnectionManager Base;"
1060,HasCommunicationFlowConfiguration,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.8","UAFX ConnectionManager Base;"
1062,HasAutomationComponentConfiguration,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.3","UAFX ConnectionManager Base;"
1063,ToAutomationComponentConfiguration,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.18","UAFX ConnectionManager Base;"
1129,ConnectionEndpointConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.11.2","UAFX ConnectionManager Base;"
1246,AutomationComponentConfigurationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.14.2","UAFX ConnectionManager Base;"
1247,AssetVerificationType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.15.2","UAFX ConnectionManager Base;"
1261,ConnectionEndpointParameterType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.12.2","UAFX ConnectionManager Base;"
1481,EditConnectionConfigurationSets,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.7.4","UAFX ConnectionManager EditConnectionConfigurationSets;"
1483,ProcessConnectionConfigurationSets,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/6.7.5/#6.7.5.2","UAFX ConnectionManager ProcessConnectionConfigurationSets;"
2002,SecurityKeyServerAddressType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/9.3.2","UAFX ConnectionManager Base;"
2003,ServerAddressType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/9.2.2","UAFX ConnectionManager Base;"
3001,FxEditEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.22","UAFX ConnectionManager Base;"
3002,FxProcessEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.23","UAFX ConnectionManager Base;"
3004,CommunicationFlowQosDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.12","UAFX ConnectionManager Base;"
3005,PortableNodeIdentifierValuePair,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.33","UAFX ConnectionManager Base;"
3006,NodeIdTranslationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.29","UAFX ConnectionManager Base;"
3012,PortableNodeIdentifier,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.32","UAFX ConnectionManager Base;"
3021,SecurityKeyServerAddressDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.41","UAFX ConnectionManager Base;"
4001,ToConnectionEndpointConfiguration,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.19","UAFX ConnectionManager Base;"
4003,HasCharacteristic,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.7","UAFX ConnectionManager Base;"
4004,ToFlow,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.22","UAFX ConnectionManager Base;"
4005,HasAssetToVerify,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.5","UAFX ConnectionManager Base;"
4006,ToInboundFlow,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.23","UAFX ConnectionManager Base;"
4007,ToOutboundFlow,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/11.24","UAFX ConnectionManager Base;"
4008,HasCMCapability,"",""
5001,http://opcfoundation.org/UA/FX/CM/,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/14.1",""
5011,ConnectionManager,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/12.3","UAFX ConnectionManager Base;"
7003,CloseAndUpdate,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.3.3/#F.3.3.1","UAFX AutomationComponent Base;"
13003,ConnectionConfigurationSetConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.3","UAFX ConnectionManager Configuration;"
13006,ConnectionConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.4","UAFX ConnectionManager Configuration;"
13009,ConnectionEndpointConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.5","UAFX ConnectionManager Configuration;"
13012,CommunicationFlowConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.6","UAFX ConnectionManager Configuration;"
13015,PubSubCommunicationFlowConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.7","UAFX ConnectionManager Configuration;"
13018,SubscriberConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.8","UAFX ConnectionManager Configuration;"
13021,AutomationComponentConfigurationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.9","UAFX ConnectionManager Configuration;"
13024,SecurityKeyServerAddressConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.10","UAFX ConnectionManager Configuration;"
13027,ServerAddressConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.11","UAFX ConnectionManager Configuration;"
13030,AssetVerificationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.12","UAFX ConnectionManager Configuration;"
13033,CommunicationModelConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.13","UAFX ConnectionManager Configuration;"
13036,PubSubCommunicationModelConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.14","UAFX ConnectionManager Configuration;"
13039,NodeIdentifier,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.15","UAFX ConnectionManager Configuration;"
13042,NodeIdentifierValuePair,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.16","UAFX ConnectionManager Configuration;"
13045,NodeIdTranslationConfDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.17","UAFX ConnectionManager Configuration;"
13048,AddressSelectionDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.18","UAFX ConnectionManager Configuration;"
13051,ReceiveQosSelectionDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/F.1.19","UAFX ConnectionManager Configuration;"
13054,ConnectionConfigurationSetOperation,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/1","UAFX ConnectionManager Configuration;"
