Id,Name,Link,ConformanceUnits
31,PubSubConnectionEndpointModeEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.37","UAFX ConnectionEndpoint PubSub;UAFX ConnectionManager Base;"
71,FxRoot,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/12.2","UAFX FxRoot;"
81,http://opcfoundation.org/UA/FX/Data/,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/14.1",""
1024,FxCommandMask,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.21","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1025,AuditUpdateMethodResultEventType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/8.4","UAFX Auditing Connection Management;"
1028,NodeIdValuePair,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.28","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1029,AssetVerificationModeEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.4","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1031,PubSubCommunicationLinkConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.13.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1033,CommunicationConfigurationResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.11.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1034,NodeIdArray,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.27","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1037,AssetVerificationResultEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.7","UAFX ConnectionManager Base;UAFX AutomationComponent Base;"
1038,AssetVerificationResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.6","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1039,PubSubCommunicationConfigurationResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.11.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1044,ConnectionEndpointConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.14","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1045,PubSubCommunicationConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.10.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1046,CommunicationConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.10.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
1048,AssetVerificationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.5","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3002,FunctionalEntityVerificationResultEnum,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.20","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3003,RelatedEndpointDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.38","UAFX ConnectionEndpoint Base;UAFX ConnectionManager Base;"
3006,PubSubConnectionEndpointParameterDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.18.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3007,CommunicationLinkConfigurationDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.13.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3008,ConnectionEndpointConfigurationResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.15","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3009,ConnectionEndpointParameterDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.18.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3011,ConnectionEndpointDefinitionDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.16","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3017,ReserveCommunicationIdsDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.39.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3018,PubSubReserveCommunicationIdsDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.39.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3019,ReserveCommunicationIdsResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.40.2","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
3020,PubSubReserveCommunicationIdsResultDataType,"https://reference.opcfoundation.org/UAFX/Part81/v100/docs/10.40.3","UAFX AutomationComponent Base;UAFX ConnectionManager Base;"
