Id,Name,Link,ConformanceUnits
1003,WirelessMachineToolPeripheralType,"https://reference.opcfoundation.org/WMTP/v100/docs/7.1.1","WMTP Basic;WMTP DeviceConfiguration Calibration Capabilities;WMTP DeviceConfiguration Time Capabilities;WMTP Firmware Services;WMTP License Services;WMTP BatteryLevel;WMTP Service and LifeCycle Information Basic;WMTP Service and LifeCycle Information Advanced;WMTP Temperature Measurement;WMTP RotationSpeed Measurement;WMTP Humidity Measurement;WMTP Acceleration Measurement;WMTP Force Measurement;WMTP Torque Measurement;WMTP Position Measurement;WMTP Dimension Measurement;WMTP WorkCycleData;WMTP ServiceCycleData;"
1004,WMTPWorkCycleDataType,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.1","WMTP WorkCycleData Deleting All;WMTP WorkCycleData Deleting Advanced;WMTP WorkCycleData ReportNumberOfStoredRecordsTime;WMTP WorkCycleData CombinedReport Index;WMTP WorkCycleData CombinedReport Time;WMTP WorkCycleData CombinedReport Advanced;"
1005,WMTPMeasurementType,"https://reference.opcfoundation.org/WMTP/v100/docs/7.3.1","WMTP Measurement LimitCounters;WMTP Measurement InternalUpdateInterval;WMTP Measurement Information for WorkCycleData;"
1007,WMTPServiceCycleDataType,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.2","WMTP ServiceCycleData Deleting All;WMTP ServiceCycleData Deleting Advanced;WMTP ServiceCycleData ReportNumberOfStoredRecordsTime;WMTP ServiceCycleData CombinedReport Index;WMTP ServiceCycleData CombinedReport Time;WMTP ServiceCycleData CombinedReport Advanced;"
2001,WMTPOutputType,"",""
3003,WMTPOutputDataType,"https://reference.opcfoundation.org/WMTP/v100/docs/8.1",""
5023,http://opcfoundation.org/UA/WMTP/,"https://reference.opcfoundation.org/WMTP/v100/docs/10.1",""
7001,SetDeviceTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.1.2",""
7002,UpdateFirmware,"https://reference.opcfoundation.org/WMTP/v100/docs/7.1.3",""
7003,SendLicenseData,"https://reference.opcfoundation.org/WMTP/v100/docs/7.1.4",""
7004,SwitchCalibrationMode,"https://reference.opcfoundation.org/WMTP/v100/docs/7.1.5",""
7006,DeleteStoredRecordsTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.2",""
7007,DeleteStoredRecordsIndex,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.3",""
7009,ReportNumberOfStoredRecords,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.5",""
7010,ReportNumberOfStoredRecordsTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.6",""
7011,CombinedReportAll,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.7",""
7012,CombinedReportIndex,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.8",""
7013,CombinedReportTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.11",""
7015,CombinedReportAll,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.7",""
7016,CombinedReportIndex,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.8",""
7017,CombinedReportTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.11",""
7019,DeleteStoredRecordsIndex,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.3",""
7020,DeleteStoredRecordsTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.2",""
7021,ReportNumberOfStoredRecords,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.5",""
7022,ReportNumberOfStoredRecordsTime,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.6",""
7024,CombinedReportAll,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.7",""
7025,ReportNumberOfStoredRecords,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.5",""
7029,SetTriggerSettings,"https://reference.opcfoundation.org/WMTP/v100/docs/7.3.2",""
7030,SetDeltaCondition,"https://reference.opcfoundation.org/WMTP/v100/docs/7.3.3",""
7031,SetDeltaCondition,"https://reference.opcfoundation.org/WMTP/v100/docs/7.3.3",""
7032,SetTriggerSettings,"https://reference.opcfoundation.org/WMTP/v100/docs/7.3.2",""
7047,CombinedReportLastValue,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.9",""
7048,CombinedReportLastValue,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.9",""
7049,CombinedReportFirstValue,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.10",""
7050,CombinedReportFirstValue,"https://reference.opcfoundation.org/WMTP/v100/docs/7.2.3/#7.2.3.10",""
