Id,Name,Link,ConformanceUnits
2,WwMachineType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.2","Woodworking WwMachineType Mandatory Nodes;Woodworking Machine Identification Writeable;"
4,IWwUnitFlagsType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.9","Woodworking Machine Monitoring;Woodworking SubUnits Monitoring;Woodworking Unit State;"
5,IWwUnitOverviewType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.6","Woodworking Unit State;"
6,IWwBaseStateType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.5","Woodworking Machine Monitoring;Woodworking SubUnits Monitoring;Woodworking Unit State;"
7,IWwSubUnitsType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.4","Woodworking SubUnits Monitoring;"
8,IWwStateType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.3","Woodworking SubUnits Monitoring;Woodworking Unit State;"
13,WwBaseEventType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.16","Woodworking Event Messages;"
15,WwEventsDispatcherType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.11","Woodworking Machine Events;Woodworking Event Propagation;Woodworking Event Messages;"
20,WwUnitModeEnumeration,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.8","Woodworking Unit State;"
21,WwUnitStateEnumeration,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.7","Woodworking Unit State;"
65,http://opcfoundation.org/UA/Woodworking/,"https://reference.opcfoundation.org/Woodworking/v100/docs/9.1",""
1002,IWwEventMessageType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.12","Woodworking Event Messages;"
1006,IWwUnitValuesType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.10","Woodworking Machine Monitoring;Woodworking SubUnits Monitoring;Woodworking Unit State;"
3002,WwMessageArgumentValueDataType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.15","Woodworking Event Messages;"
3003,WwMessageArgumentDataType,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.14","Woodworking Event Messages;"
3004,WwEventCategoryEnumeration,"https://reference.opcfoundation.org/Woodworking/v100/docs/7.13","Woodworking Event Messages;"
